name,accuracy,precision,recall,f1,roc_auc,pr_auc
Day1 Rule (edu>=13),0.753,0.4844,0.497,0.4906,0.6653,0.3611
Logistic Regression,0.8542327771522162,0.742826780021254,0.5979469632164243,0.6625592417061611,0.9057715355378405,0.7671368859792975
Decision Tree,0.8186098884225612,0.6167491749174917,0.6394354148845167,0.627887442251155,0.7573964188814827,0.4808261380140684
