id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
10933,Carlton Blues,2,1992-03-28,1992,H,Hawthorn Hawks,4.2 10.4 13.9 17.13,115,4.2 7.10 9.11 12.17,89,W,26,Princes Park,25689,17,13,12,17
10934,Carlton Blues,4,1992-04-10,1992,A,North Melbourne Kangaroos,2.4 10.6 12.9 19.11,125,2.3 6.7 13.10 16.14,110,W,15,Melbourne Cricket Ground,43231,19,11,16,14
10935,Carlton Blues,5,1992-04-18,1992,H,Sydney Swans,3.5 4.9 7.9 10.13,73,3.2 8.4 11.7 14.10,94,L,-21,Princes Park,21182,10,13,14,10
10936,Carlton Blues,6,1992-04-25,1992,H,St Kilda Saints,4.3 8.5 15.8 18.13,121,7.2 12.5 13.7 17.11,113,W,8,Princes Park,34661,18,13,17,11
10937,Carlton Blues,7,1992-05-03,1992,A,Western Bulldogs,2.1 7.4 8.5 11.6,72,5.4 8.6 13.15 18.20,128,L,-56,Melbourne Cricket Ground,49406,11,6,18,20
10938,Carlton Blues,8,1992-05-07,1992,A,Collingwood Magpies,2.3 7.5 12.8 16.9,105,2.5 4.12 7.13 9.18,72,W,33,Melbourne Cricket Ground,83262,16,9,9,18
10939,Carlton Blues,9,1992-05-16,1992,H,West Coast Eagles,3.0 6.6 8.14 11.16,82,2.6 5.10 9.12 15.16,106,L,-24,Princes Park,19077,11,16,15,16
12350,Geelong Cats,2,1984-04-07,1984,H,Western Bulldogs,4.3 10.4 13.8 16.9,105,0.3 3.5 6.10 9.11,65,W,40,Waverley Park,24114,16,9,9,11
10942,Carlton Blues,12,1992-06-07,1992,H,Geelong Cats,4.5 5.6 9.9 13.12,90,3.2 9.8 11.14 16.22,118,L,-28,Melbourne Cricket Ground,62586,13,12,16,22
10943,Carlton Blues,13,1992-06-13,1992,H,Adelaide Crows,4.1 11.2 13.8 17.13,115,3.6 8.9 10.12 13.14,92,W,23,Princes Park,14433,17,13,13,14
10944,Carlton Blues,14,1992-06-20,1992,A,Fitzroy Lions,4.3 9.7 15.9 17.12,114,3.5 8.10 16.11 20.13,133,L,-19,Princes Park,21405,17,12,20,13
10945,Carlton Blues,15,1992-06-27,1992,A,Richmond Tigers,4.3 8.8 14.15 17.18,120,5.3 11.7 14.8 19.9,123,L,-3,Waverley Park,24072,17,18,19,9
10947,Carlton Blues,17,1992-07-11,1992,A,Hawthorn Hawks,3.4 5.5 8.6 9.12,66,0.4 2.8 5.9 7.12,54,W,12,Waverley Park,52481,9,12,7,12
10948,Carlton Blues,19,1992-07-25,1992,H,North Melbourne Kangaroos,5.5 10.8 13.16 15.18,108,5.2 9.6 12.8 15.11,101,W,7,Princes Park,17079,15,18,15,11
10949,Carlton Blues,20,1992-08-02,1992,A,Sydney Swans,5.5 8.8 14.12 21.13,139,4.0 12.3 16.7 20.10,130,W,9,Sydney Cricket Ground,13265,21,13,20,10
10950,Carlton Blues,21,1992-08-09,1992,A,St Kilda Saints,1.3 4.4 15.7 18.14,122,5.3 7.10 9.10 12.15,87,W,35,Waverley Park,50883,18,14,12,15
10951,Carlton Blues,22,1992-08-15,1992,H,Western Bulldogs,4.8 10.13 12.16 19.22,136,3.1 3.3 7.10 7.12,54,W,82,Princes Park,31375,19,22,7,12
10952,Carlton Blues,23,1992-08-22,1992,H,Collingwood Magpies,4.5 7.7 11.12 12.14,86,4.9 8.11 10.11 15.12,102,L,-16,Waverley Park,77357,12,14,15,12
10953,Carlton Blues,24,1992-08-30,1992,A,West Coast Eagles,0.4 4.9 9.13 12.15,87,7.2 12.5 14.8 18.12,120,L,-33,Domain Stadium,40441,12,15,18,12
10963,	Carlton Blues,11,1993-06-12,1993,A,Geelong Cats,4.1 7.4 14.9 17.16,118,7.1 8.4 12.7 13.11,89,W,29,Melbourne Cricket Ground,37119,17,16,13,11
